White,Alchy,Junky,Super,Married,Felon,Workrel,Propty,Person,Male,Priors,School,Rule,Age,Tservd,Follow,Recidivate
0,1,0,1,0,0,1,0,0,1,0,12,0,22,9,54,1
1,0,1,1,0,0,0,0,0,1,0,7,1,20,12,53,0
1,0,1,1,0,0,1,0,0,1,3,5,0,47,64,56,1
0,0,0,0,0,0,1,0,0,1,0,10,3,33,19,55,1
0,0,0,1,0,1,0,1,0,1,0,10,0,19,11,48,0
1,1,1,1,0,1,0,1,0,1,0,12,3,25,14,47,1
0,0,0,1,0,1,1,1,0,1,0,7,6,23,36,47,0
1,0,1,1,0,1,1,0,0,0,0,15,0,25,4,55,1
1,1,1,1,0,0,0,1,0,1,0,10,2,19,11,48,1
1,0,0,1,0,0,1,1,0,1,0,10,2,20,13,51,0
0,0,0,1,0,0,0,0,0,1,0,9,4,18,19,55,1
0,0,0,1,0,0,0,0,0,0,0,10,3,20,12,46,1
1,0,0,1,0,0,0,1,0,1,0,9,0,23,4,57,1
1,0,0,1,1,0,1,0,0,1,5,4,3,51,287,50,0
0,0,0,1,1,1,1,1,0,1,1,12,6,26,56,48,1
0,0,0,1,1,0,1,0,0,0,0,9,2,36,29,46,1
1,1,1,0,0,0,0,1,0,1,4,9,0,22,11,55,0
1,1,1,1,0,1,0,1,0,0,0,10,1,24,8,46,1
1,1,0,0,1,0,1,0,0,1,14,10,0,38,4,52,1
1,1,1,1,0,0,0,1,0,1,0,6,2,16,4,47,0
1,0,0,1,0,1,0,1,0,1,0,10,0,19,13,53,0
1,1,0,1,1,1,0,1,0,1,0,18,0,66,19,49,1
1,1,0,1,1,1,1,1,0,1,0,9,0,26,17,49,1
1,0,0,0,0,1,0,1,0,1,3,6,0,36,44,49,0
1,0,1,1,0,0,0,0,0,1,0,10,12,20,23,56,1
0,1,0,0,0,0,0,1,0,1,5,6,12,22,11,55,0
0,0,0,1,0,1,1,1,0,1,0,10,0,22,17,57,1
1,0,0,1,0,1,1,1,0,1,0,7,7,26,73,55,1
0,1,0,1,0,0,0,1,0,1,0,11,0,32,2,49,1
