Fold,Method,Alpha,Delta,Budget,Accuracy,F1,Time [s],Cost,Validity,Budget-Validity,Valid-Cost,Recourse,Sparsity,Plausibility
1,Baseline,0.0,1.0,0.1,0.7028238458090542,0.796188134030126,0.341127872467041,0.6673926568921507,0.865040650406504,0.02168021680216802,0.7715159473471291,0.1909457642312864,1.5031328320802004,0.5178205651951244
1,Baseline (OAF),0.0,1.0,0.1,0.6458987001344688,0.7672362993517972,0.06292200088500977,0.46352601235181223,1.0,0.08559919436052367,0.46352601235181223,0.186015239802779,1.298590130916415,0.5088856275421285
1,RACT,0.0,0.2,0.1,0.41281936351411924,0.16133162612035853,0.5977118015289307,0.4603003134443219,0.9025974025974026,0.045454545454545456,0.5099730091397523,0.9341102644554011,1.1151079136690647,0.5156810658030937
1,RACT,0.0,0.25,0.1,0.41281936351411924,0.16133162612035853,0.5789539813995361,0.4603003134443219,0.9025974025974026,0.045454545454545456,0.5099730091397523,0.9341102644554011,1.1151079136690647,0.5156810658030937
1,RACT,0.0,0.3,0.1,0.41281936351411924,0.16133162612035853,0.6038892269134521,0.4603003134443219,0.9025974025974026,0.045454545454545456,0.5099730091397523,0.9341102644554011,1.1151079136690647,0.5156810658030937
1,RACT,0.0,0.35,0.1,0.41281936351411924,0.16133162612035853,0.5721838474273682,0.4603003134443219,0.9025974025974026,0.045454545454545456,0.5099730091397523,0.9341102644554011,1.1151079136690647,0.5156810658030937
1,RACT,0.0,0.4,0.1,0.41281936351411924,0.16133162612035853,0.5685429573059082,0.4603003134443219,0.9025974025974026,0.045454545454545456,0.5099730091397523,0.9341102644554011,1.1151079136690647,0.5156810658030937
1,RACT,0.025,0.2,0.1,0.4146122814881219,0.1977886977886978,0.17644906044006348,0.21123923003644823,1.0,0.4090909090909091,0.21123923003644823,0.9417301658449126,1.1,0.522759407929706
1,RACT,0.025,0.25,0.1,0.4146122814881219,0.1977886977886978,0.19466805458068848,0.21123923003644823,1.0,0.4090909090909091,0.21123923003644823,0.9417301658449126,1.1,0.522759407929706
1,RACT,0.025,0.3,0.1,0.4146122814881219,0.1977886977886978,0.17855024337768555,0.21123923003644823,1.0,0.4090909090909091,0.21123923003644823,0.9417301658449126,1.1,0.522759407929706
