Fold,Method,Alpha,Delta,Budget,Accuracy,F1,Time [s],Cost,Validity,Budget-Validity,Valid-Cost,Recourse,Sparsity,Plausibility
1,Baseline,0.0,1.0,0.1,0.7135332252836305,0.7420649398029916,0.4067800045013428,0.47079765649367095,0.9488950276243094,0.10013812154696132,0.4961535710355426,0.47204213938411665,1.245269286754003,0.47928951111081985
1,Baseline (OAF),0.0,1.0,0.1,0.7082658022690438,0.7368421052631579,0.3495810031890869,0.19690877884253458,1.0,0.3381843381843382,0.19690877884253458,0.6130470016207455,1.5287595287595288,0.4513476787233264
1,RACT,0.0,0.2,0.1,0.4805510534846029,0.040419161676646706,0.3305840492248535,0.2526585149189415,1.0,0.37209302325581395,0.2526585149189415,0.9890599675850892,1.0232558139534884,0.4333349401686237
1,RACT,0.0,0.25,0.1,0.4805510534846029,0.040419161676646706,0.3395860195159912,0.2526585149189415,1.0,0.37209302325581395,0.2526585149189415,0.9890599675850892,1.0232558139534884,0.4333349401686237
1,RACT,0.0,0.3,0.1,0.4805510534846029,0.040419161676646706,0.33313584327697754,0.2526585149189415,1.0,0.37209302325581395,0.2526585149189415,0.9890599675850892,1.0232558139534884,0.4333349401686237
1,RACT,0.0,0.35,0.1,0.4805510534846029,0.040419161676646706,0.3447868824005127,0.2526585149189415,1.0,0.37209302325581395,0.2526585149189415,0.9890599675850892,1.0232558139534884,0.4333349401686237
1,RACT,0.0,0.4,0.1,0.4805510534846029,0.040419161676646706,0.33222031593322754,0.2526585149189415,1.0,0.37209302325581395,0.2526585149189415,0.9890599675850892,1.0232558139534884,0.4333349401686237
1,RACT,0.025,0.2,0.1,0.4773095623987034,0.01225114854517611,0.3145420551300049,0.035187333088185724,1.0,1.0,0.035187333088185724,1.0,1.0,0.4467623354857008
1,RACT,0.025,0.25,0.1,0.4773095623987034,0.01225114854517611,0.31415605545043945,0.035187333088185724,1.0,1.0,0.035187333088185724,1.0,1.0,0.4467623354857008
1,RACT,0.025,0.3,0.1,0.4773095623987034,0.01225114854517611,0.32146787643432617,0.035187333088185724,1.0,1.0,0.035187333088185724,1.0,1.0,0.4467623354857008
1,RACT,0.025,0.35,0.1,0.4773095623987034,0.01225114854517611,0.310884952545166,0.035187333088185724,1.0,1.0,0.035187333088185724,1.0,1.0,0.4467623354857008
1,RACT,0.025,0.4,0.1,0.7106969205834684,0.7376928728875827,0.30423998832702637,0.18927362256747535,1.0,0.4100769769069279,0.18927362256747535,0.6584278768233387,1.099370188943317,0.48393998005978595
1,RACT,0.05,0.2,0.1,0.7029983792544571,0.7028779894608838,0.45276403427124023,0.09391112667709535,1.0,0.6652470187393527,0.09391112667709535,0.8407617504051864,1.0110732538330494,0.47352248309519906
1,RACT,0.05,0.25,0.1,0.7135332252836305,0.7275529865125241,0.43573808670043945,0.11649610108771966,1.0,0.6267281105990783,0.11649610108771966,0.8030794165316045,1.0414746543778801,0.4682284596126212
