Fold,Method,Alpha,Budget,N_ESTIMATORS,Accuracy,AUC,F1,Time [s],Cost,Validity,Budget-Validity,Valid-Cost,Recourse,Sparsity,Plausibility
1,Baseline,0.0,0.3,100,0.6920492721164614,0.733131233061605,0.7976453274466518,9.32998776435852,0.28577335004891935,0.39875,0.06625,0.7166729781791081,0.16349384098544228,1.8369905956112853,0.5029809025724222
1,Baseline (OAF),0.0,0.3,100,0.6394176931690929,0.559738305142845,0.7680115273775217,1.412520170211792,0.603364378864923,1.0,0.1942098914354644,0.603364378864923,0.251959686450168,1.698431845597105,0.5196840859406906
1,RACT,0.02,0.3,100,0.6909294512877939,0.7203276809529422,0.7943368107302533,8.81249189376831,0.4638242154750163,0.6500638569604087,0.1123882503192848,0.713505620269033,0.22172452407614784,1.7288801571709234,0.5105254634305333
1,RACT,0.04,0.3,100,0.6931690929451287,0.7269343245530406,0.7930513595166163,8.329457998275757,0.4443503106438226,0.984313725490196,0.4222222222222222,0.4514315904947202,0.5050391937290033,1.1938911022576362,0.5109227158944091
1,RACT,0.06,0.3,100,0.6976483762597985,0.7192752241491971,0.7957639939485628,9.615772008895874,0.25654633892710044,1.0,0.6461336828309305,0.25654633892710044,0.6976483762597985,1.055045871559633,0.5123570996487488
1,RACT,0.08,0.3,100,0.6909294512877939,0.7239188885199189,0.7912254160363087,8.48657488822937,0.34343714540427134,0.9960681520314548,0.5478374836173001,0.34479281834665654,0.6136618141097425,1.105263157894737,0.5120863070892233
1,RACT,0.1,0.3,100,0.6931690929451287,0.733310659539597,0.7895545314900154,8.695093870162964,0.2681289579247221,0.9986541049798116,0.6325706594885598,0.2684903177062918,0.6942889137737962,1.0498652291105122,0.5126509000368308
1,Baseline,0.0,0.3,400,0.6886898096304591,0.7330080447334312,0.7943786982248521,40.213669300079346,0.29552311621238064,0.4110970996216898,0.06557377049180328,0.718864512749748,0.17021276595744683,1.803680981595092,0.5026224742192315
1,Baseline (OAF),0.0,0.3,400,0.6360582306830908,0.566427966964104,0.7636363636363637,6.977446794509888,0.5118778036208349,1.0,0.21200980392156862,0.5118778036208349,0.2799552071668533,1.4803921568627452,0.5052840826520948
1,RACT,0.02,0.3,400,0.6954087346024636,0.7273494156588434,0.7979197622585437,38.140955209732056,0.41138223429018245,0.7179161372299873,0.21601016518424396,0.5730226874095107,0.3090705487122061,1.5292035398230088,0.5100277384884057
1,RACT,0.04,0.3,400,0.7054871220604704,0.7245214401251164,0.8032909498878086,35.52732706069946,0.5164032545233754,0.9691516709511568,0.34190231362467866,0.532840493394146,0.42665173572228443,1.4893899204244032,0.5154609671838659
1,RACT,0.06,0.3,400,0.6976483762597985,0.7235332554925926,0.7963800904977376,40.641088008880615,0.3408257232933797,1.0,0.5501955671447197,0.3408257232933797,0.6136618141097425,1.0964797913950457,0.5127096112764256
1,RACT,0.08,0.3,400,0.6920492721164614,0.72423757136889,0.7918243754731265,39.30690097808838,0.32366878407325256,0.9724409448818898,0.5564304461942258,0.33284158362188726,0.6215005599104143,1.0958164642375168,0.5114697208767017
1,RACT,0.1,0.3,400,0.6931690929451287,0.7307183486336808,0.7924242424242425,37.014628171920776,0.30485022621086183,1.0,0.5913272010512484,0.30485022621086183,0.6517357222844344,1.0827858081471748,0.5116784724936194
2,Baseline,0.0,0.3,100,0.7043673012318029,0.7630262665168779,0.8058823529411765,9.780503034591675,0.25036987677437106,0.33541147132169574,0.04239401496259352,0.7464559151414333,0.1399776035834267,1.9888475836431228,0.5020579985424526
2,Baseline (OAF),0.0,0.3,100,0.6550951847704367,0.6015112608998021,0.7815602836879433,1.3015851974487305,0.6237902647634337,1.0,0.142018779342723,0.6237902647634337,0.1814109742441209,1.7077464788732395,0.5213607693752843
2,RACT,0.02,0.3,100,0.7032474804031354,0.7529610014443909,0.8052902277736959,7.937295198440552,0.5478386670940116,0.8617683686176837,0.2191780821917808,0.6357145226538893,0.2978723404255319,1.6604046242774566,0.5131114247237318
2,RACT,0.04,0.3,100,0.7088465845464725,0.7536190017653668,0.8059701492537312,10.401226997375488,0.5390656858973152,0.9130434782608695,0.28388746803069054,0.5904052750303928,0.3729003359462486,1.5602240896358543,0.5169982759876425
2,RACT,0.06,0.3,100,0.70996640537514,0.7519847001551383,0.8082901554404146,7.682520151138306,0.3430204766718914,0.9987389659520807,0.5498108448928121,0.3434535833343559,0.6002239641657334,1.0934343434343434,0.5127165327051175
2,RACT,0.08,0.3,100,0.7077267637178052,0.7570694912534104,0.8042010502625656,8.823891401290894,0.3748947989671666,0.983225806451613,0.512258064516129,0.3812906419941655,0.5767077267637177,1.1036745406824147,0.5118656129673597
2,RACT,0.1,0.3,100,0.7144456886898096,0.761397314502755,0.8092744951383695,8.629690885543823,0.3305108945095676,0.9922978177150192,0.5738125802310655,0.33307630895595486,0.6282194848824187,1.0827943078913325,0.513227214225294
2,Baseline,0.0,0.3,400,0.7066069428891377,0.7664232600438667,0.8064992614475628,39.81600499153137,0.30047324541218473,0.3793969849246231,0.0364321608040201,0.7919758389009903,0.14109742441209405,1.9933774834437086,0.5064593837945462
2,Baseline (OAF),0.0,0.3,400,0.658454647256439,0.6102899481089178,0.783226723525231,7.005451917648315,0.5611998263721248,1.0,0.1790341578327444,0.5611998263721248,0.21948488241881303,1.6207302709069493,0.515454917198358
2,RACT,0.02,0.3,400,0.7066069428891377,0.7538971807628525,0.8067846607669616,36.66925883293152,0.4602219154450111,0.7606516290726817,0.21428571428571427,0.6050363896624694,0.2978723404255319,1.5683690280065898,0.5085993484009546
2,RACT,0.04,0.3,400,0.7066069428891377,0.7545204087091426,0.8059259259259259,39.46671414375305,0.3922317368936623,0.9949494949494949,0.4823232323232323,0.39422276093880776,0.5408734602463605,1.1472081218274113,0.5140221952021332
2,RACT,0.06,0.3,400,0.7066069428891377,0.7551356122612742,0.8062130177514794,34.80006814002991,0.33541161743557585,0.9987405541561712,0.5478589420654912,0.33583458290522983,0.5979843225083987,1.0693568726355611,0.5143278303379026
2,RACT,0.08,0.3,400,0.7122060470324748,0.7621007863906275,0.8074906367041198,40.32068085670471,0.2892948595273329,1.0,0.6241956241956242,0.2892948595273329,0.6730123180291153,1.0926640926640927,0.5141474605534944
2,RACT,0.1,0.3,400,0.7110862262038073,0.7643288931685658,0.8068862275449102,40.216145038604736,0.35618152515855334,0.9948586118251928,0.5372750642673522,0.35802225655472153,0.5968645016797313,1.1576227390180878,0.5117525765442056
3,Baseline,0.0,0.3,100,0.7043673012318029,0.7737869790830791,0.8035714285714287,9.304287910461426,0.34493751988204346,0.4223918575063613,0.03307888040712468,0.8166291886364042,0.14893617021276595,2.174698795180723,0.5116251340953326
3,Baseline (OAF),0.0,0.3,100,0.6573348264277715,0.6068020114481357,0.7782608695652173,1.3434832096099854,0.5209729772480921,1.0,0.20194647201946472,0.5209729772480921,0.26539753639417696,1.5802919708029197,0.5125317887176102
3,RACT,0.02,0.3,100,0.7032474804031354,0.759442037126197,0.8029739776951673,9.767767906188965,0.39612245402241897,0.7268106734434562,0.25158831003811943,0.5450146351672093,0.34042553191489366,1.437062937062937,0.5112905361190332
3,RACT,0.04,0.3,100,0.7021276595744681,0.7579789225913444,0.8005997001499251,8.769017219543457,0.3694650158649257,0.9974226804123711,0.5128865979381443,0.37041970582840095,0.5767077267637177,1.1046511627906976,0.5157553826304901
3,RACT,0.06,0.3,100,0.7010078387458006,0.7605547531161397,0.7987942727957799,8.842722654342651,0.29673762285034533,0.9986996098829649,0.5981794538361509,0.2971239999634317,0.6539753639417694,1.0755208333333333,0.5145902336522787
3,RACT,0.08,0.3,100,0.7122060470324748,0.7602845985128124,0.8051554207733131,8.84198784828186,0.32169313751479317,0.9986859395532195,0.5624178712220762,0.3221164179588916,0.6270996640537514,1.0855263157894737,0.5142692124230309
3,RACT,0.1,0.3,100,0.7077267637178052,0.7590113946397047,0.8012185833968012,8.74159288406372,0.35453651968184435,0.9721854304635762,0.519205298013245,0.36467993509508495,0.593505039193729,1.0912806539509536,0.5129580663408464
3,Baseline,0.0,0.3,400,0.6987681970884658,0.7828144225111004,0.8014760147601476,38.536617040634155,0.36605886834565454,0.45671267252195735,0.03513174404015056,0.8015080166799087,0.13885778275475924,2.0027472527472527,0.514620589061462
3,Baseline (OAF),0.0,0.3,400,0.6506159014557671,0.6047183437650459,0.7774607703281027,6.763767719268799,0.6272879208686253,1.0,0.12796208530805686,0.6272879208686253,0.17581187010078392,1.6516587677725119,0.5241658619020015
3,RACT,0.02,0.3,400,0.6954087346024636,0.7650002674798053,0.7985185185185185,36.40459680557251,0.3959229197482147,0.7133838383838383,0.23484848484848486,0.5549928361780284,0.3213885778275476,1.3787610619469026,0.5073435202522054
3,RACT,0.04,0.3,400,0.7021276595744681,0.7713234900764993,0.8017883755588673,38.87107825279236,0.39424527727231246,0.9961734693877551,0.475765306122449,0.3957596637407079,0.5397536394176932,1.1434058898847632,0.515489826118939
3,RACT,0.06,0.3,400,0.7066069428891377,0.7696089445246883,0.8024132730015083,38.158936977386475,0.3396844732710404,0.9986979166666666,0.54296875,0.34012734742132855,0.606942889137738,1.1082138200782268,0.5155504452492985
3,RACT,0.08,0.3,400,0.7054871220604704,0.7682849194885786,0.8015094339622642,37.01406502723694,0.3188269389553681,0.9986962190352021,0.5801825293350718,0.3192431621132733,0.6394176931690929,1.080939947780679,0.5150312433121654
3,RACT,0.1,0.3,400,0.7043673012318029,0.7646873161076339,0.7999999999999999,38.54848003387451,0.2771629711460806,1.0,0.6286089238845144,0.2771629711460806,0.683090705487122,1.0695538057742782,0.5145809419393949
4,Baseline,0.0,0.3,100,0.7040358744394619,0.7347804391217565,0.8038632986627042,9.588912010192871,0.3754684303914558,0.5279187817258884,0.07487309644670051,0.711223853722277,0.18273542600896864,1.8653846153846154,0.5101571302586451
4,Baseline (OAF),0.0,0.3,100,0.6356502242152466,0.5682827892601894,0.7626004382761139,1.8128697872161865,0.5087231486829136,1.0,0.22934648581997533,0.5087231486829136,0.2993273542600897,1.31442663378545,0.51049851742894
4,RACT,0.02,0.3,100,0.7006726457399103,0.7184662932200115,0.8017817371937639,9.328045129776001,0.4372050252191656,0.7287705956907478,0.21546261089987326,0.5999213302572551,0.3060538116591929,1.6365217391304347,0.5116728349711338
4,RACT,0.04,0.3,100,0.7073991031390134,0.7242182302062542,0.8047868362004488,8.306828022003174,0.39616556712713263,0.9948652118100129,0.503209242618742,0.3982102926348855,0.5661434977578476,1.1845161290322581,0.5150195410466587
4,RACT,0.06,0.3,100,0.702914798206278,0.7324142038503637,0.8017950635751684,7.682677984237671,0.3512712709640311,1.0,0.5532734274711169,0.3512712709640311,0.6098654708520179,1.0629011553273426,0.5130274265602836
4,RACT,0.08,0.3,100,0.7163677130044843,0.7299969952567981,0.8067226890756303,8.558515787124634,0.2969733291588115,1.0,0.6205059920106525,0.2969733291588115,0.6804932735426009,1.0505992010652463,0.514082827423566
4,RACT,0.1,0.3,100,0.7073991031390134,0.73413119996566,0.8036117381489841,7.765166997909546,0.3185841366464198,1.0,0.6044098573281452,0.3185841366464198,0.6580717488789238,1.0376134889753568,0.5143844285411381
4,Baseline,0.0,0.3,400,0.7017937219730942,0.7490261412658554,0.803834808259587,40.6762421131134,0.2899750320071738,0.39849624060150374,0.05513784461152882,0.7276731935274361,0.1547085201793722,1.779874213836478,0.5036752327180173
4,Baseline (OAF),0.0,0.3,400,0.6401345291479821,0.5774311591870023,0.7668845315904141,6.234525203704834,0.5121167059404774,1.0,0.2039072039072039,0.5121167059404774,0.26905829596412556,1.4981684981684982,0.5109621570699407
4,RACT,0.02,0.3,400,0.7040358744394619,0.7324678599789669,0.8035714285714287,38.76510500907898,0.42418834339119255,0.7709923664122137,0.27735368956743,0.5501848810321408,0.36322869955156956,1.4554455445544554,0.5097708477711291
4,RACT,0.04,0.3,400,0.7073991031390134,0.7337824351297406,0.8044943820224719,37.57966685295105,0.4064680911857073,0.9948519948519948,0.47619047619047616,0.4085714189538093,0.5437219730941705,1.1397153945666236,0.5106271662577107
4,RACT,0.06,0.3,400,0.7141255605381166,0.7410072328461358,0.8078372268274304,37.688095808029175,0.3529313415548626,0.9986996098829649,0.5513654096228868,0.3533908875725123,0.6132286995515694,1.0794270833333333,0.5131755128934269
4,RACT,0.08,0.3,400,0.7152466367713004,0.7356899105015775,0.806697108066971,40.93387007713318,0.33475510890778754,0.9986772486772487,0.5806878306878307,0.33519849315799655,0.6446188340807175,1.0847682119205297,0.5126579500729075
4,RACT,0.1,0.3,400,0.7152466367713004,0.735113107119095,0.8064024390243901,39.156084060668945,0.298054030718934,1.0,0.623342175066313,0.298054030718934,0.6816143497757847,1.063660477453581,0.5139508368851562
5,Baseline,0.0,0.3,100,0.7085201793721974,0.733844139677634,0.806547619047619,10.538079023361206,0.34583200732537067,0.42493638676844786,0.04198473282442748,0.8138441849034173,0.155829596412556,2.230538922155689,0.5063753643561905
5,Baseline (OAF),0.0,0.3,100,0.6591928251121076,0.5938606657652437,0.7781021897810219,1.2968568801879883,0.5156894789441866,1.0,0.21182266009852216,0.5156894789441866,0.2825112107623319,1.333743842364532,0.5094462719286118
5,RACT,0.02,0.3,100,0.6973094170403588,0.7326127315261949,0.8002958579881656,10.45384693145752,0.5520511530033164,0.9005037783375315,0.24055415617128464,0.6130470146638227,0.3239910313901345,1.525874125874126,0.5184542183072847
5,RACT,0.04,0.3,100,0.7062780269058296,0.7261900929324147,0.8044776119402984,8.610336065292358,0.38336383571912885,0.9987212276214834,0.49232736572890023,0.3838546985049407,0.554932735426009,1.1370038412291934,0.5138244191874802
5,RACT,0.06,0.3,100,0.7219730941704036,0.7355986950829525,0.811836115326252,8.668331146240234,0.3077554835583195,1.0,0.5855263157894737,0.3077554835583195,0.6468609865470851,1.0842105263157895,0.515602341042823
5,RACT,0.08,0.3,100,0.7152466367713004,0.733310261198034,0.8061068702290076,9.774370908737183,0.3442958542704536,1.0,0.5611702127659575,0.3442958542704536,0.6300448430493273,1.0492021276595744,0.5135701730088815
5,RACT,0.1,0.3,100,0.7242152466367713,0.7456592191960166,0.810477657935285,9.274357080459595,0.3173306451674386,0.9986486486486487,0.5972972972972973,0.31776005064127816,0.6659192825112108,1.0676589986468201,0.5142678309138091
