Fold,Method,Alpha,Budget,N_ESTIMATORS,Married,Single,Age_lt_25,Age_in_25_to_40,Age_in_40_to_59,Age_geq_60,EducationLevel,MaxBillAmountOverLast6Months,MaxPaymentAmountOverLast6Months,MonthsWithZeroBalanceOverLast6Months,MonthsWithLowSpendingOverLast6Months,MonthsWithHighSpendingOverLast6Months,MostRecentBillAmount,MostRecentPaymentAmount,TotalOverdueCounts,TotalMonthsOverdue
1,Baseline,0.0,0.3,100,0.07119465636499231,0.05186553017071185,0.041418049234183796,0.05047782438875646,0.037782855454125644,0.019257318735741834,0.041113446607251865,0.15417463913671664,0.12561979902848563,0.04619607935266886,0.02834683757980956,0.034149166583928844,0.10457306569709147,0.07443911832239603,0.018899724631689548,0.10049188871144976
1,Baseline (OAF),0.0,0.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.1571622024333319,0.2588328442179191,0.16903630560947253,0.10519809733538645,0.09226638531565881,0.06778830380797737,0.10838948409117256,0.04132637718908142,0.0,0.0
1,RACT,0.2,0.3,100,0.09528864715549357,0.05516968116829062,0.045738640987116656,0.051059573358531916,0.03807832676276533,0.024644493536631264,0.03409372580080423,0.13983223299829736,0.12430598826208708,0.025072095271781926,0.01598300154733901,0.03600691171738112,0.13261387785144435,0.07088261778776753,0.019756408792069437,0.0914737770021986
1,RACT,0.4,0.3,100,0.08582273168247441,0.07028357057770229,0.05150239423109331,0.04887522965140241,0.03707497300833442,0.021548902465549784,0.03944317884455531,0.1569335608681023,0.1083161095549967,0.02528907900985631,0.012470841040223536,0.0412844061119169,0.11192597423230387,0.07255670818019262,0.02017623762205636,0.09649610291923948
1,RACT,0.6,0.3,100,0.10669789052815301,0.08937746731690274,0.06005025494779552,0.04749860313443687,0.05168065193590889,0.02504893071953699,0.030014397427532185,0.12593108287808652,0.10031193082900855,0.022033007318708907,0.00943216250464641,0.03475779963729686,0.0990384690283762,0.05012339999592942,0.019413330132275988,0.12859062166540483
1,RACT,0.8,0.3,100,0.11077688322717873,0.10267503523506903,0.08728317930711105,0.06348725696014976,0.05475407783853251,0.035970394635019755,0.026535459518823298,0.12643105887050107,0.08495153421519515,0.0205570257617918,0.008687193100937466,0.028392134724738543,0.09823879713311218,0.042417470346823395,0.014767357726789776,0.09407514139822641
1,RACT,1.0,0.3,100,0.15470878900294333,0.10192546437115392,0.09101645935750834,0.05547301427681548,0.05857813754632565,0.03049215631972246,0.0399216761354813,0.12089197335202996,0.09377736579983899,0.02743891717191738,0.017098320697606743,0.025794269258761677,0.09312213034774292,0.043412508415738585,0.01260017660870927,0.03374864133770405
1,Baseline,0.0,0.3,400,0.07017432823606186,0.05058180747577429,0.0431584476129261,0.04946773233583384,0.04249149920510044,0.02115152467418108,0.04066778785423405,0.14467108851068478,0.12173590415767992,0.04884117262685191,0.027623144299233845,0.03143995358356632,0.1050378607236138,0.07593552876616877,0.026389125006113543,0.1006330949319754
1,Baseline (OAF),0.0,0.3,400,0.0,0.0,0.0,0.0,0.0,0.0,0.174037844480185,0.2246098375628683,0.17519034494055719,0.09572723221130329,0.07744347071151121,0.06774561927404678,0.12598919731261518,0.05925645350691301,0.0,0.0
1,RACT,0.2,0.3,400,0.08094819109948218,0.055954365880892594,0.054452822679685035,0.04382509178790112,0.035421054576848535,0.025158864469602093,0.04097889986296909,0.15147420664803088,0.1261114250068185,0.03182158146169725,0.016219187453268148,0.033730292800104686,0.11432905637512335,0.06945269151745173,0.02230225251564778,0.09782001586447708
1,RACT,0.4,0.3,400,0.0860665894714228,0.06491074286518991,0.04886008591076351,0.05196522938311358,0.03875131138395835,0.024531216751149946,0.038669314931674345,0.1409906373635912,0.12206037407761207,0.02388622590093625,0.013646912809702476,0.03676744532361292,0.11972800758516774,0.07111088009971711,0.017795375915994737,0.10025965022639295
1,RACT,0.6,0.3,400,0.10565123635497976,0.08229329062573092,0.05702753169331245,0.06359191530101478,0.0465227095356929,0.03481833139218674,0.031454096636249415,0.1362818720061286,0.08879024790333466,0.024586383342899382,0.014759426889162371,0.03378558938818396,0.09934212889083022,0.0508256581827879,0.017131404259865715,0.11313817759764028
1,RACT,0.8,0.3,400,0.11763268560893915,0.08517735525180681,0.06559770788749306,0.053433596634130165,0.04992710252502986,0.03257518302161929,0.035513689174859746,0.13287580686475622,0.09081539962120164,0.03255030649704756,0.015625385784711503,0.030909391551908333,0.10192964752752874,0.048146987264458804,0.019613740953432733,0.08767601383107634
1,RACT,1.0,0.3,400,0.12683378989735578,0.11824979580898083,0.08720581143704897,0.07476612363720443,0.055452756058090906,0.032601302080796604,0.04234108995344431,0.12122896317618506,0.08551541026969774,0.029552900814171588,0.014004139849625402,0.0236453381907551,0.094219019135709,0.04371671625794514,0.0178933534858868,0.032773489947102385
2,Baseline,0.0,0.3,100,0.06480847030226433,0.05318979404770812,0.0484791961979956,0.044993609219003576,0.04041017214631209,0.019020213049240682,0.04210909714785711,0.13885328676024278,0.11925787482402997,0.04777644475526264,0.027004760568765145,0.030947205231599377,0.10559783632593589,0.08092112102826679,0.02773851288987038,0.10889240550564559
2,Baseline (OAF),0.0,0.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.13951919270692478,0.23661275421894765,0.18641706588920348,0.0999737860104501,0.08527224115143801,0.07086143880610822,0.13254163204823283,0.04880188916869487,0.0,0.0
2,RACT,0.2,0.3,100,0.08235234988231523,0.04735669374756899,0.03497411017519313,0.04812665223953582,0.03529440985908742,0.02171913264820999,0.033329057973505556,0.15966866551493716,0.13359742498710964,0.028177097537890057,0.01618186031594195,0.03153549772702697,0.12137905148052294,0.07676188314992796,0.027152165925677024,0.10239394683555005
2,RACT,0.4,0.3,100,0.0939516550609829,0.06371440232913524,0.05392705929399267,0.048527599180372465,0.038138619794227446,0.02725521139866729,0.03415235845610874,0.14523400336679243,0.13464597639809578,0.02023314448773058,0.010391848458321,0.036668105951049114,0.10735344104716486,0.06664732995327351,0.02188092972725202,0.09727831509683392
2,RACT,0.6,0.3,100,0.11567641258058929,0.08082313562475346,0.07231196769309203,0.06933249622713766,0.05139793403809162,0.021950775263729468,0.045834206264533876,0.1232385940380708,0.08135292550600252,0.022719385958214124,0.010723129427002088,0.030742222948413576,0.09940852819840067,0.053779260666181786,0.01301768239136733,0.10769134317441965
2,RACT,0.8,0.3,100,0.1340517261154598,0.1288572257926833,0.07068704931324732,0.056393460991839894,0.052512311969130775,0.04503087832755781,0.03597859774813604,0.10763034565710937,0.07721504051983624,0.022875091270414583,0.012855561477823145,0.0262731821365799,0.09004192221523569,0.03656820509878215,0.009856050410845809,0.09317335095531816
2,RACT,1.0,0.3,100,0.10717791928813611,0.09751685272801838,0.07230513301625527,0.08112500266016548,0.07447720313310091,0.02652929251266572,0.04421401711619582,0.13640572077683713,0.06992476702972888,0.02237490360682961,0.019415202787119636,0.029373574525254097,0.11252073629115461,0.04952130815936958,0.013252169847520517,0.04386619652164821
2,Baseline,0.0,0.3,400,0.06819815567614673,0.05298569954995994,0.04361875075172129,0.04471692157162552,0.04283022695691704,0.021318062169716614,0.03908031825665963,0.14306114632269357,0.12782440174842816,0.049893928100207284,0.028926515585920454,0.03076810448036728,0.09918732095324326,0.07522778672410811,0.028081671233360035,0.10428098991892508
2,Baseline (OAF),0.0,0.3,400,0.0,0.0,0.0,0.0,0.0,0.0,0.16629570782469122,0.23315265281923403,0.17486784626339266,0.09607032558224526,0.07393391689316836,0.06206009543926718,0.13233353580272422,0.06128591937527708,0.0,0.0
2,RACT,0.2,0.3,400,0.07882327226042041,0.06038842866167683,0.0453754774324676,0.047343266395811795,0.04064356357170236,0.018916251751394133,0.04038561556274443,0.14588243533413467,0.12154405632360085,0.026993561136779875,0.01709113527376012,0.03241410626127911,0.119428649721825,0.07550804984811085,0.023612624239657223,0.10564950622463468
2,RACT,0.4,0.3,400,0.08960953663871422,0.07413458490739848,0.05402030412136094,0.05348178199359624,0.04220063174941837,0.025223576418630277,0.037889778658316935,0.1418385003072408,0.11438393142175611,0.023714608177298906,0.012611497516090458,0.03287068639707277,0.10958696274903364,0.07552499985827615,0.01815259010232508,0.0947560289834706
2,RACT,0.6,0.3,400,0.10795924125425253,0.0959225101758401,0.07186589054127081,0.06190600438907331,0.04292973214773184,0.026909034734999154,0.03606141908450513,0.12969282098478424,0.08768711750564478,0.021936886687883995,0.012964500251746912,0.026983210562822966,0.09152679357455691,0.05984905072510733,0.02048441609470667,0.1053213712850734
2,RACT,0.8,0.3,400,0.13279875626932874,0.09201546103046904,0.07649314470009105,0.06705606488981496,0.04500977641706116,0.03456366590672615,0.03574209697840842,0.12216327642004007,0.08714313707670743,0.02343669139580919,0.014889467360834414,0.027509397459950947,0.08875260032388264,0.04613261175152587,0.022377251968817628,0.08391660005053227
2,RACT,1.0,0.3,400,0.13809878084039276,0.11015305432888231,0.07717761449869474,0.05696566962895742,0.05799239868599038,0.03927901820552597,0.037307229741084344,0.13568197937666338,0.08469663585858826,0.029388014229783044,0.011806984080213736,0.026923215979637725,0.0899284042687272,0.04896492853699682,0.021004123722204584,0.034631948017657246
3,Baseline,0.0,0.3,100,0.06478039679096294,0.060463146928178266,0.05436728983983148,0.044097462726508725,0.04100077565119494,0.021624923052131394,0.04041363426444716,0.14333908745902624,0.1320045254298962,0.04195077275761599,0.027031341881272052,0.031008095307095966,0.10938998105348366,0.07366128224073949,0.023011958322439626,0.09185532629517588
3,Baseline (OAF),0.0,0.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.15510421342747646,0.19701708973393478,0.18290621838882165,0.10195930864590345,0.10475609564094804,0.08472059484366067,0.12420416085223947,0.04933231846701547,0.0,0.0
3,RACT,0.2,0.3,100,0.07534610132771588,0.050902372299002116,0.03914951316615886,0.053616854620748985,0.03936702813029426,0.024055854340675965,0.0412829406367299,0.15400707103279196,0.1205726711581387,0.0294060560026383,0.01386862083817008,0.040566761786781015,0.12368386072181373,0.06665341680081158,0.026215664551699647,0.10130521258582903
