Fold,Method,Alpha,Budget,Accuracy,AUC,F1,Time [s],Cost,Validity,Budget-Validity,Valid-Cost,Recourse
1,Baseline,0.0,0.3,0.6763717805151176,0.7028295823380073,0.7873436350257543,8.13010549545288,0.362566209947486,0.52,0.08,0.6972427114374731,0.948488241881299
1,Baseline (OAF),0.0,0.3,0.6438969764837627,0.5656781249665248,0.7654867256637168,3.2023191452026367,0.4267416993359612,1.0,0.38,0.4267416993359612,0.9652855543113101
1,RACT,0.1,0.3,0.6662933930571109,0.6824526260537958,0.7704160246533128,6.922590970993042,0.23743284159828426,1.0,0.66,0.23743284159828426,0.9809630459126539
2,Baseline,0.0,0.3,0.6976483762597985,0.7254694270582571,0.8011782032400588,8.161179780960083,0.4703251798663667,0.56,0.04,0.8398663926185117,0.9462486002239642
2,Baseline (OAF),0.0,0.3,0.6573348264277715,0.60135344781469,0.7826704545454546,2.986396312713623,0.6038392435508413,1.0,0.18,0.6038392435508413,0.9540873460246361
2,RACT,0.1,0.3,0.7032474804031354,0.7146150965602097,0.7993943981831946,7.455270051956177,0.23982023583780354,1.0,0.7,0.23982023583780354,0.9832026875699889
3,Baseline,0.0,0.3,0.6774916013437849,0.7283635585513293,0.7891654465592973,8.01630187034607,0.4346262465072529,0.6,0.08,0.724377077512088,0.948488241881299
3,Baseline (OAF),0.0,0.3,0.6528555431131019,0.5979323811052265,0.7772988505747126,3.1417109966278076,0.557812880860223,1.0,0.16,0.557812880860223,0.9529675251959686
3,RACT,0.1,0.3,0.6920492721164614,0.7312148932755578,0.7889485801995396,7.3114540576934814,0.26790475456288787,1.0,0.64,0.26790475456288787,0.9798432250839866
4,Baseline,0.0,0.3,0.6748878923766816,0.6929420728435602,0.7858197932053175,8.152490615844727,0.39371149054640875,0.64,0.12,0.6151742039787637,0.9506726457399103
4,Baseline (OAF),0.0,0.3,0.6390134529147982,0.5728140493207133,0.7649635036496351,3.1843106746673584,0.3840523667814892,1.0,0.38,0.3840523667814892,0.9652466367713004
4,RACT,0.1,0.3,0.6894618834080718,0.6935296074517632,0.7861003861003862,7.447906017303467,0.19655483828892908,1.0,0.84,0.19655483828892908,0.9910313901345291
5,Baseline,0.0,0.3,0.6905829596412556,0.6995229970167193,0.7970588235294117,8.05665111541748,0.4603716465162695,0.58,0.08,0.7937442181314993,0.9484304932735426
5,Baseline (OAF),0.0,0.3,0.6603139013452914,0.5905983731461808,0.7799564270152506,3.0406696796417236,0.47164312145972453,1.0,0.26,0.47164312145972453,0.9585201793721974
5,RACT,0.1,0.3,0.6995515695067265,0.6925128238147361,0.790625,7.306095600128174,0.259219308713783,1.0,0.74,0.259219308713783,0.9854260089686099
6,Baseline,0.0,0.3,0.6905829596412556,0.6941198248663963,0.7985401459854015,8.123478412628174,0.3079354036957684,0.42,0.04,0.7331795326089723,0.9461883408071748
6,Baseline (OAF),0.0,0.3,0.6502242152466368,0.5890262485781127,0.7758620689655172,3.1847238540649414,0.4753859325216374,1.0,0.26,0.4753859325216374,0.9585201793721974
6,RACT,0.1,0.3,0.6894618834080718,0.6677344236258665,0.7883880825057294,7.184084415435791,0.2635721466835401,1.0,0.6,0.2635721466835401,0.9775784753363229
7,Baseline,0.0,0.3,0.6748878923766816,0.669867254737836,0.7889374090247451,8.333786964416504,0.6921023925005549,0.86,0.04,0.8047702238378548,0.9461883408071748
7,Baseline (OAF),0.0,0.3,0.6367713004484304,0.5484890434185393,0.7675753228120517,2.9023642539978027,0.5146543782790025,1.0,0.2,0.5146543782790025,0.9551569506726457
7,RACT,0.1,0.3,0.6816143497757847,0.6776822698688645,0.7835365853658537,7.433267593383789,0.20717400409361736,1.0,0.76,0.20717400409361736,0.9865470852017937
8,Baseline,0.0,0.3,0.6939461883408071,0.7242074989805335,0.7982261640798226,8.413240909576416,0.6689201820387364,0.88,0.06,0.760136570498564,0.9473094170403588
8,Baseline (OAF),0.0,0.3,0.6367713004484304,0.6019493271521473,0.7672413793103449,2.9708290100097656,0.5149677340283868,1.0,0.22,0.5149677340283868,0.9562780269058296
8,RACT,0.1,0.3,0.6894618834080718,0.7197352606614728,0.7880642693190513,7.492956161499023,0.26306440110621826,1.0,0.7,0.26306440110621826,0.9831838565022422
9,Baseline,0.0,0.3,0.679372197309417,0.6974008971304702,0.7909356725146199,8.384402513504028,0.3991697995953538,0.52,0.06,0.767634229991065,0.9473094170403588
9,Baseline (OAF),0.0,0.3,0.6614349775784754,0.6145102268581117,0.7808417997097242,3.0817348957061768,0.5312207748449285,1.0,0.16,0.5312207748449285,0.952914798206278
9,RACT,0.1,0.3,0.7130044843049327,0.6889795677462279,0.802469135802469,7.222116708755493,0.2263001390926637,1.0,0.78,0.2263001390926637,0.9876681614349776
10,Baseline,0.0,0.3,0.6804932735426009,0.7194240551155753,0.7915142648134602,8.549674034118652,0.327338052947829,0.58,0.16,0.5643759533583258,0.952914798206278
10,Baseline (OAF),0.0,0.3,0.6345291479820628,0.56829352048591,0.7613469985358712,3.117475986480713,0.4453619853568432,1.0,0.3,0.4453619853568432,0.960762331838565
10,RACT,0.1,0.3,0.6603139013452914,0.6975404030648381,0.7663839629915189,7.477282762527466,0.2001472050658879,1.0,0.82,0.2001472050658879,0.9899103139013453
