Fold,Method,Alpha,Budget,Accuracy,AUC,F1,Time [s],Cost,Validity,Budget-Validity,Valid-Cost,Recourse
1,Baseline,0.0,0.3,0.729757085020243,0.7884302812392256,0.7502338634237605,21.096128225326538,0.20120857388317592,0.44,0.14,0.45729221337085435,0.9564777327935222
1,Baseline (OAF),0.0,0.3,0.7135627530364372,0.785442217077936,0.7475468331846565,18.535324335098267,0.5754933334805693,1.0,0.12,0.5754933334805693,0.9554655870445344
1,RACT,1.0,0.3,0.7125506072874493,0.7796405293142228,0.7231968810916178,20.152679443359375,0.20275196402109652,1.0,0.94,0.20275196402109652,0.9969635627530364
2,Baseline,0.0,0.3,0.7203647416413373,0.7824322767993024,0.7557522123893806,20.622048377990723,0.25155101109636174,0.66,0.38,0.38113789560054806,0.9685916919959473
2,Baseline (OAF),0.0,0.3,0.7041540020263425,0.7630839660746456,0.742504409171076,18.284724473953247,0.5081470694048654,1.0,0.24,0.5081470694048654,0.961499493414387
2,RACT,1.0,0.3,0.7152988855116514,0.7670079219486512,0.7331433998100664,21.380600214004517,0.17046178057031103,1.0,0.96,0.17046178057031103,0.9979736575481256
3,Baseline,0.0,0.3,0.7183383991894631,0.7873454479643965,0.7458866544789762,19.62355399131775,0.21849044486742172,0.42,0.16,0.5202153449224326,0.9574468085106383
3,Baseline (OAF),0.0,0.3,0.7223910840932117,0.7761411966008837,0.7518115942028984,18.598003149032593,0.5361577454666959,1.0,0.16,0.5361577454666959,0.9574468085106383
3,RACT,1.0,0.3,0.7274569402228976,0.7856343728662976,0.7328699106256206,20.46295142173767,0.21070051653119798,1.0,0.88,0.21070051653119798,0.993920972644377
4,Baseline,0.0,0.3,0.7061803444782169,0.7758594450522783,0.7111553784860558,20.117873430252075,0.11280957758031507,0.46,0.32,0.2452382121311197,0.9655521783181358
4,Baseline (OAF),0.0,0.3,0.6838905775075987,0.7568134516826943,0.6904761904761905,18.119640111923218,0.5675562405196753,1.0,0.16,0.5675562405196753,0.9574468085106383
4,RACT,1.0,0.3,0.6818642350557245,0.7545018550357434,0.6673728813559322,20.2335786819458,0.19854577431672923,1.0,0.9,0.19854577431672923,0.9949341438703141
5,Baseline,0.0,0.3,0.7163120567375887,0.7841125031877,0.7435897435897435,21.08257246017456,0.237088410177077,0.5,0.18,0.47417682035415404,0.9584599797365755
5,Baseline (OAF),0.0,0.3,0.7021276595744681,0.7662284778835318,0.738898756660746,18.164109468460083,0.5817149858599607,1.0,0.06,0.5817149858599607,0.9523809523809523
5,RACT,1.0,0.3,0.7082066869300911,0.7665040596901966,0.7230769230769232,20.056655883789062,0.2562596676387173,1.0,0.78,0.2562596676387173,0.9888551165146909
6,Baseline,0.0,0.3,0.7396149949341438,0.8081847796579494,0.7686768676867687,19.936486959457397,0.3106466499931099,0.62,0.24,0.5010429838598546,0.961499493414387
6,Baseline (OAF),0.0,0.3,0.7264437689969605,0.7866544368670872,0.7619047619047619,17.20497226715088,0.5365733617056687,1.0,0.12,0.5365733617056687,0.955420466058764
6,RACT,1.0,0.3,0.7345491388044579,0.8026114461052476,0.755597014925373,19.683456897735596,0.2263604324930747,1.0,0.9,0.2263604324930747,0.9949341438703141
7,Baseline,0.0,0.3,0.7304964539007093,0.79308650200278,0.7564102564102564,20.85490369796753,0.39138890357849015,0.84,0.28,0.46593917092677406,0.9635258358662614
7,Baseline (OAF),0.0,0.3,0.7112462006079028,0.7728736397956917,0.7480106100795756,17.723653078079224,0.5525571579005725,1.0,0.08,0.5525571579005725,0.9533941236068896
7,RACT,1.0,0.3,0.7274569402228976,0.7770334180505178,0.7400966183574879,20.70867347717285,0.22458789002755183,1.0,0.9,0.22458789002755183,0.9949341438703141
8,Baseline,0.0,0.3,0.6737588652482269,0.7304163479491038,0.6996268656716418,20.404785633087158,0.25817684443048294,0.58,0.18,0.44513249039738445,0.9584599797365755
8,Baseline (OAF),0.0,0.3,0.6727456940222898,0.7237417853118496,0.7113494191242179,18.47736144065857,0.5548739164829436,1.0,0.14,0.5548739164829436,0.9564336372847011
8,RACT,1.0,0.3,0.6666666666666666,0.7325548399832209,0.6745796241345203,20.423909664154053,0.2689660376374184,1.0,0.84,0.2689660376374184,0.9918946301925026
9,Baseline,0.0,0.3,0.7213779128672746,0.7844009343565194,0.7506799637352675,20.428375959396362,0.19941173415624347,0.42,0.16,0.4747898432291511,0.9574468085106383
9,Baseline (OAF),0.0,0.3,0.7021276595744681,0.7673834727465639,0.738898756660746,18.400148391723633,0.5912038796355121,1.0,0.08,0.5912038796355121,0.9533941236068896
9,RACT,1.0,0.3,0.6970618034447822,0.7638878607677186,0.7133269415148609,20.510383367538452,0.2543722647854863,1.0,0.88,0.2543722647854863,0.993920972644377
10,Baseline,0.0,0.3,0.7507598784194529,0.8210370041371595,0.7713754646840149,20.360891819000244,0.16347801287320732,0.5,0.3,0.32695602574641464,0.9645390070921985
10,Baseline (OAF),0.0,0.3,0.7355623100303952,0.8123370427945156,0.7612076852698992,18.505410194396973,0.5287497313533874,1.0,0.16,0.5287497313533874,0.9574468085106383
10,RACT,1.0,0.3,0.7386018237082067,0.7980934521018909,0.7470588235294118,20.528167247772217,0.15438691958724635,1.0,0.98,0.15438691958724635,0.9989868287740629
