Fold,Method,Alpha,Budget,Accuracy,AUC,F1,Time [s],Cost,Validity,Budget-Validity,Valid-Cost,Recourse,Sparsity,Plausibility
1,Baseline,0.0,0.3,0.728744939271255,0.7876114367334875,0.750465549348231,40.3356351852417,0.41792688554079366,0.9375,0.30178571428571427,0.44578867791017984,0.604251012145749,2.4,0.4474781661631515
1,Baseline (OAF),0.0,0.3,0.7226720647773279,0.7876155412172258,0.7544802867383512,32.89755892753601,0.2897858184442921,1.0,0.5182724252491694,0.2897858184442921,0.7064777327935223,2.644518272425249,0.44308459952428475
1,RACT,0.2,0.3,0.7176113360323887,0.784290909389417,0.7345385347288297,35.796700954437256,0.2973622450563793,0.9739292364990689,0.46741154562383613,0.3053222286716552,0.7105263157894737,2.529636711281071,0.4346888446175077
1,RACT,0.4,0.3,0.7196356275303644,0.7787580653105454,0.7349282296650718,45.41961216926575,0.2580838678459292,0.9962335216572504,0.5668549905838042,0.259059610257445,0.7672064777327935,2.68241965973535,0.4335560039257531
1,RACT,0.6,0.3,0.7135627530364372,0.7746843652005451,0.7244401168451802,46.55783200263977,0.2511845130726505,1.0,0.6081871345029239,0.2511845130726505,0.7965587044534412,2.7017543859649122,0.43436470799753857
1,RACT,0.8,0.3,0.7206477732793523,0.7730097358354266,0.7309941520467835,45.24241590499878,0.24317588137671603,1.0,0.609375,0.24317588137671603,0.7975708502024291,2.666015625,0.43286761642291977
1,RACT,1.0,0.3,0.708502024291498,0.7707604787469832,0.7159763313609467,44.20082187652588,0.23698335202242202,1.0,0.658,0.23698335202242202,0.8269230769230769,2.592,0.43423543942470266
2,Baseline,0.0,0.3,0.7213779128672746,0.782559784799401,0.755120213713268,40.03759503364563,0.4175690416886807,0.9277504105090312,0.2545155993431856,0.45008769272284344,0.5400202634245188,2.5823008849557523,0.44292560406039905
2,Baseline (OAF),0.0,0.3,0.707193515704154,0.7662757792384072,0.7484769364664926,35.01299786567688,0.3105297203472803,1.0,0.4519685039370079,0.3105297203472803,0.6474164133738602,2.7590551181102363,0.43409568468627363
2,RACT,0.2,0.3,0.7203647416413373,0.7829237995738765,0.7458563535911602,35.47574281692505,0.31121129580808654,0.9545454545454546,0.4388111888111888,0.3260308813227573,0.6747720364741641,2.7234432234432235,0.4326362240764183
2,RACT,0.4,0.3,0.7163120567375887,0.7752424708582523,0.7383177570093458,46.957921743392944,0.2732976116205184,0.9946043165467626,0.579136690647482,0.2747802388083332,0.7629179331306991,2.5262206148282096,0.42806699800615533
2,RACT,0.6,0.3,0.7152988855116514,0.7709647831130051,0.7356538099717779,46.3066930770874,0.24231533652586904,1.0,0.6721311475409836,0.24231533652586904,0.817629179331307,2.564663023679417,0.42926224996800644
2,RACT,0.8,0.3,0.7163120567375887,0.7668022638839761,0.7358490566037735,46.49519085884094,0.2454200649951591,1.0,0.6538461538461539,0.2454200649951591,0.8085106382978724,2.531135531135531,0.42880913307774166
2,RACT,1.0,0.3,0.7183383991894631,0.767236202400441,0.7337164750957855,43.901365995407104,0.2503106891410259,1.0,0.6320754716981132,0.2503106891410259,0.8024316109422492,2.5056603773584905,0.4268912573866011
