Fold,Method,Alpha,Budget,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,race:African-American,race:Asian,race:Caucasian,race:Hispanic,race:Native American,race:Other,c_charge_degree:F,c_charge_degree:M,gender
1,Baseline,0.0,0.3,0.19199946086467187,0.10577775937623217,0.11200849627120328,0.12470988884683491,0.15671374747698172,0.06565577103687818,0.028460817226286184,0.04635675370941305,0.03660982587965174,0.022955501133832025,0.022469957453138994,0.03149118633513737,0.018342790154933748,0.03644804423480463
1,Baseline (OAF),0.0,0.3,0.26363275639511946,0.1453449694592257,0.15424512540686336,0.1645966382159578,0.18457335111551795,0.0,0.0,0.0,0.0,0.0,0.0,0.06875231645527549,0.018854842952040207,0.0
1,RACT,0.02,0.3,0.19975552140846137,0.09309944721558687,0.10682294310527327,0.11792051930516123,0.172186762950227,0.06595766784374016,0.038561579728274606,0.04064965109308895,0.03198139616407049,0.018395024886135196,0.02160459333547451,0.030221153701306736,0.02346384018885194,0.03937989907434769
1,RACT,0.04,0.3,0.194672787928684,0.095516380377576,0.11278126854019933,0.11519924310085077,0.18250566070252783,0.058843032387267256,0.035854734715267664,0.04216068103122295,0.032603101959651035,0.018420513954695704,0.017682574410985342,0.03137212151794018,0.02226663034549146,0.040121269027640384
1,RACT,0.06,0.3,0.1894936657818659,0.10811368875981409,0.11842724244181947,0.1290372063691702,0.1582809968505237,0.06405431284143932,0.028254461656022415,0.04165712440273797,0.026699622220458498,0.015500416021613873,0.02353210156899691,0.033708785348551686,0.02418864543797885,0.03905173029900707
1,RACT,0.08,0.3,0.18515974748832364,0.09946109335141755,0.12258564740811892,0.13316473160631428,0.16891416892650402,0.06139053029835147,0.03071499330252054,0.04026690304496936,0.03274281001746111,0.01650439084604621,0.022488579848544497,0.026037868615862596,0.021762372012744842,0.03880616323282063
1,RACT,0.1,0.3,0.1832753774808802,0.10027718143897371,0.123081544943876,0.10932860482215845,0.17676583021507355,0.06945552264121788,0.03476415950858141,0.04772377045115116,0.02670361086995612,0.021476711357452456,0.020491863316173777,0.027121916459640884,0.02021850975024578,0.0393153967446186
2,Baseline,0.0,0.3,0.1952840344083475,0.11114854570146246,0.11343954664477873,0.12211555015940678,0.16056221123347955,0.06402329669956171,0.03187323350247286,0.03970808857587059,0.03314932283373645,0.01587433871612425,0.022151637437462263,0.02921297511588432,0.020872927785101573,0.04058429118631087
2,Baseline (OAF),0.0,0.3,0.25440565229211426,0.1513753066055791,0.15819440320754088,0.16636583785660838,0.1854767090754165,0.0,0.0,0.0,0.0,0.0,0.0,0.06619149865890818,0.017990592303832577,0.0
2,RACT,0.02,0.3,0.1982776885136884,0.09616426284729207,0.11602280333517573,0.12254202319537613,0.1696423057744292,0.06083014329106353,0.02992105750186679,0.0373818093426035,0.033960877875271946,0.01709899303539475,0.02597838839528918,0.0324769594112081,0.019684138470166323,0.040018549011174284
