Fold,Method,Alpha,Budget,Accuracy,AUC,F1,Time [s],Cost,Validity,Budget-Validity,Valid-Cost,Recourse,Sparsity,Plausibility
1,Baseline,0.0,0.3,0.795,0.6444068224954613,0.36663233779608656,320.1039168834686,0.2447278888986262,1.0,0.6579804560260586,0.2447278888986262,0.965,1.4625407166123778,0.5395161605269136
1,Baseline (OAF),0.0,0.3,0.7786666666666666,0.5517428231762667,0.0,296.0734257698059,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,RACT,0.2,0.3,0.7926666666666666,0.6322145388059086,0.20051413881748073,306.657595872879,0.0999624652410425,1.0,1.0,0.0999624652410425,1.0,1.4824561403508771,0.5219775112512312
1,RACT,0.4,0.3,0.792,0.6028899416157782,0.15902964959568733,287.34498620033264,0.0642890047896774,1.0,1.0,0.0642890047896774,1.0,1.3205128205128205,0.5150209887557564
1,RACT,0.6,0.3,0.7786666666666666,0.5944433771043076,0.0,281.8246040344238,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,RACT,0.8,0.3,0.7786666666666666,0.5987290342878363,0.0,289.00629591941833,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,RACT,1.0,0.3,0.7786666666666666,0.5331122220044563,0.0,275.50248074531555,0.0,1.0,1.0,0.0,1.0,0.0,0.0
2,Baseline,0.0,0.3,0.7993333333333333,0.648797566120647,0.37938144329896906,295.7716951370239,0.2660660358385523,1.0,0.6078431372549019,0.2660660358385523,0.96,1.4477124183006536,0.5430142807463503
2,Baseline (OAF),0.0,0.3,0.7786666666666666,0.5660149158276944,0.0,280.3003902435303,0.0,1.0,1.0,0.0,1.0,0.0,0.0
2,RACT,0.2,0.3,0.795,0.6350763714102987,0.20026007802340703,286.6303663253784,0.1257218124811108,1.0,0.9809523809523809,0.1257218124811108,0.9993333333333333,1.5714285714285714,0.5284380518530507
2,RACT,0.4,0.3,0.7903333333333333,0.6169392896930186,0.15114709851551958,314.4528601169586,0.06473251849439264,1.0,1.0,0.06473251849439264,1.0,1.3116883116883118,0.5032076812625457
2,RACT,0.6,0.3,0.7786666666666666,0.5941197366520878,0.0,257.8179380893707,0.0,1.0,1.0,0.0,1.0,0.0,0.0
2,RACT,0.8,0.3,0.7786666666666666,0.5823239447516091,0.0,224.04152083396912,0.0,1.0,1.0,0.0,1.0,0.0,0.0
2,RACT,1.0,0.3,0.7786666666666666,0.5410088556279914,0.0,204.22630977630615,0.0,1.0,1.0,0.0,1.0,0.0,0.0
3,Baseline,0.0,0.3,0.8056666666666666,0.6583427030037959,0.39958805355303817,212.20349025726318,0.223092046119254,1.0,0.6872964169381107,0.223092046119254,0.968,1.495114006514658,0.5444833575471487
3,Baseline (OAF),0.0,0.3,0.7786666666666666,0.5521625242407988,0.0,205.78373408317566,0.0,1.0,1.0,0.0,1.0,0.0,0.0
3,RACT,0.2,0.3,0.7976666666666666,0.635846790415085,0.2267515923566879,213.69178080558777,0.1487593861726137,1.0,0.9338842975206612,0.1487593861726137,0.9973333333333333,1.4545454545454546,0.5345555130452518
3,RACT,0.4,0.3,0.787,0.6171136816100016,0.11373092926490984,200.18381094932556,0.09244245051842369,1.0,1.0,0.09244245051842369,1.0,1.543859649122807,0.5269443020645507
3,RACT,0.6,0.3,0.7786666666666666,0.5938363900808714,0.0,211.07358694076538,0.0,1.0,1.0,0.0,1.0,0.0,0.0
3,RACT,0.8,0.3,0.7786666666666666,0.5677001671067834,0.0,207.4217882156372,0.0,1.0,1.0,0.0,1.0,0.0,0.0
3,RACT,1.0,0.3,0.7786666666666666,0.5829183600841723,0.0,207.23775506019592,0.0,1.0,1.0,0.0,1.0,0.0,0.0
4,Baseline,0.0,0.3,0.8046666666666666,0.6561278289527976,0.3752665245202559,222.40047311782837,0.25153730160996646,1.0,0.6459854014598541,0.25153730160996646,0.9676666666666667,1.4927007299270072,0.5471726607274644
4,Baseline (OAF),0.0,0.3,0.7786666666666666,0.5674667849480112,0.0,200.39461398124695,0.0,1.0,1.0,0.0,1.0,0.0,0.0
4,RACT,0.2,0.3,0.792,0.6373192900024758,0.19794344473007713,206.5215289592743,0.14169099404957877,1.0,0.956140350877193,0.14169099404957877,0.9983333333333333,1.5263157894736843,0.5485658093142299
4,RACT,0.4,0.3,0.7883333333333333,0.6135391308384222,0.1544607190412783,211.28519773483276,0.08867235883201001,1.0,1.0,0.08867235883201001,1.0,1.3218390804597702,0.5335809054942797
4,RACT,0.6,0.3,0.7786666666666666,0.5614729895609837,0.0,205.81571197509766,0.0,1.0,1.0,0.0,1.0,0.0,0.0
4,RACT,0.8,0.3,0.7786666666666666,0.5943830974583265,0.0,210.646399974823,0.0,1.0,1.0,0.0,1.0,0.0,0.0
4,RACT,1.0,0.3,0.7786666666666666,0.5856054784205313,0.0,196.35429668426514,0.0,1.0,1.0,0.0,1.0,0.0,0.0
5,Baseline,0.0,0.3,0.801,0.6609108738034329,0.3614973262032085,230.11620688438416,0.22220578138492622,1.0,0.7306273062730627,0.22220578138492622,0.9756666666666667,1.5461254612546125,0.5446378074673409
5,Baseline (OAF),0.0,0.3,0.7786666666666666,0.5717482515679155,0.0,209.40606808662415,0.0,1.0,1.0,0.0,1.0,0.0,0.0
5,RACT,0.2,0.3,0.793,0.6297714402129065,0.1966364812419146,202.6477119922638,0.09224995738828677,1.0,1.0,0.09224995738828677,1.0,1.3761467889908257,0.5188418676631739
5,RACT,0.4,0.3,0.7903333333333333,0.6046199996905429,0.15570469798657718,197.95624113082886,0.07456178584961885,1.0,1.0,0.07456178584961885,1.0,1.345679012345679,0.5176403283013749
5,RACT,0.6,0.3,0.7786666666666666,0.6077613106535732,0.0,199.63757586479187,0.0,1.0,1.0,0.0,1.0,0.0,0.0
5,RACT,0.8,0.3,0.7786666666666666,0.590308580211256,0.0,210.91999530792236,0.0,1.0,1.0,0.0,1.0,0.0,0.0
5,RACT,1.0,0.3,0.7786666666666666,0.5751812902294107,0.0,211.78624415397644,0.0,1.0,1.0,0.0,1.0,0.0,0.0
6,Baseline,0.0,0.3,0.805,0.7099092001567915,0.4391179290508149,219.04753994941711,0.23141942549116662,1.0,0.6701846965699209,0.23141942549116662,0.9583333333333334,1.3113456464379947,0.5365502621082809
6,Baseline (OAF),0.0,0.3,0.7786666666666666,0.5881265859671564,0.0,203.70829892158508,0.0,1.0,1.0,0.0,1.0,0.0,0.0
6,RACT,0.2,0.3,0.7993333333333333,0.6704498860166695,0.2799043062200957,216.76202392578125,0.10560171927913067,1.0,0.9883720930232558,0.10560171927913067,0.9993333333333333,1.3953488372093024,0.5271469696557067
6,RACT,0.4,0.3,0.7946666666666666,0.6277928494801122,0.20822622107969152,203.71272206306458,0.09113581040939059,1.0,1.0,0.09113581040939059,1.0,1.4298245614035088,0.5218757148202807
6,RACT,0.6,0.3,0.7786666666666666,0.6360431022033339,0.0,196.87725710868835,0.0,1.0,1.0,0.0,1.0,0.0,0.0
6,RACT,0.8,0.3,0.7786666666666666,0.6056602265225285,0.0,199.44411420822144,0.0,1.0,1.0,0.0,1.0,0.0,0.0
6,RACT,1.0,0.3,0.7786666666666666,0.5986967991830335,0.0,205.29294323921204,0.0,1.0,1.0,0.0,1.0,0.0,0.0
7,Baseline,0.0,0.3,0.8176666666666667,0.6912076110520572,0.44579533941236066,209.1755199432373,0.27665095465405826,1.0,0.5802469135802469,0.27665095465405826,0.9546666666666667,1.5401234567901234,0.5371038905476446
7,Baseline (OAF),0.0,0.3,0.779,0.5896706597454162,0.0,195.98829197883606,0.0,1.0,1.0,0.0,1.0,0.0,0.0
7,RACT,0.2,0.3,0.8043333333333333,0.6669880749772013,0.24646983311938384,210.73655486106873,0.12998576596049816,1.0,0.9741379310344828,0.12998576596049816,0.999,1.5,0.5196043718301423
7,RACT,0.4,0.3,0.7893333333333333,0.6510690053316347,0.09971509971509972,224.7142050266266,0.061749106425434144,1.0,1.0,0.061749106425434144,1.0,1.2564102564102564,0.5113372032711486
7,RACT,0.6,0.3,0.7793333333333333,0.6231239080668969,0.0030120481927710845,196.16505408287048,0.0028103734596941626,1.0,1.0,0.0028103734596941626,1.0,1.0,0.5180886264451002
7,RACT,0.8,0.3,0.779,0.5808790452753301,0.0,205.49107480049133,0.0,1.0,1.0,0.0,1.0,0.0,0.0
