Fold,Method,Alpha,Delta,Budget,Accuracy,F1,Time [s],Cost,Validity,Budget-Validity,Valid-Cost,Recourse,Sparsity,Plausibility
1,Baseline,0.0,1.0,0.3,0.8066666666666666,0.3876689189189189,1.818984031677246,0.2595561784422525,1.0,0.5896739130434783,0.2595561784422525,0.9597333333333333,1.1779891304347827,0.5306020096996178
1,Baseline (OAF),0.0,1.0,0.3,0.7818666666666667,0.0024390243902439024,1.3806872367858887,0.0,1.0,1.0,0.0,1.0,1.0,0.6560629354129346
1,RACT,0.0,0.2,0.3,0.8066666666666666,0.3876689189189189,1.7436699867248535,0.2595561784422525,1.0,0.5896739130434783,0.2595561784422525,0.9597333333333333,1.1779891304347827,0.5306020096996178
1,RACT,0.0,0.25,0.3,0.8066666666666666,0.3876689189189189,1.873298168182373,0.2595561784422525,1.0,0.5896739130434783,0.2595561784422525,0.9597333333333333,1.1779891304347827,0.5306020096996178
1,RACT,0.0,0.3,0.3,0.8066666666666666,0.3876689189189189,1.8342609405517578,0.2595561784422525,1.0,0.5896739130434783,0.2595561784422525,0.9597333333333333,1.1779891304347827,0.5306020096996178
1,RACT,0.0,0.35,0.3,0.8066666666666666,0.3876689189189189,1.7731988430023193,0.2595561784422525,1.0,0.5896739130434783,0.2595561784422525,0.9597333333333333,1.1779891304347827,0.5306020096996178
1,RACT,0.0,0.4,0.3,0.8066666666666666,0.3876689189189189,1.7265400886535645,0.2595561784422525,1.0,0.5896739130434783,0.2595561784422525,0.9597333333333333,1.1779891304347827,0.5306020096996178
1,RACT,0.025,0.2,0.3,0.8061333333333334,0.3996696944673824,1.4636259078979492,0.26009992703211626,1.0,0.6354430379746835,0.26009992703211626,0.9616,1.481012658227848,0.519998331425321
1,RACT,0.025,0.25,0.3,0.8061333333333334,0.3996696944673824,1.463606834411621,0.26009992703211626,1.0,0.6354430379746835,0.26009992703211626,0.9616,1.481012658227848,0.519998331425321
1,RACT,0.025,0.3,0.3,0.8061333333333334,0.3996696944673824,1.4721248149871826,0.26009992703211626,1.0,0.6354430379746835,0.26009992703211626,0.9616,1.481012658227848,0.519998331425321
1,RACT,0.025,0.35,0.3,0.8061333333333334,0.3996696944673824,1.4845349788665771,0.26009992703211626,1.0,0.6354430379746835,0.26009992703211626,0.9616,1.481012658227848,0.519998331425321
1,RACT,0.025,0.4,0.3,0.8061333333333334,0.3996696944673824,1.4663259983062744,0.26009992703211626,1.0,0.6354430379746835,0.26009992703211626,0.9616,1.481012658227848,0.519998331425321
1,RACT,0.05,0.2,0.3,0.8062666666666667,0.400330169211721,1.4302148818969727,0.43049091464981304,1.0,0.3527180783817952,0.43049091464981304,0.9317333333333333,1.4146649810366625,0.5063715173728245
1,RACT,0.05,0.25,0.3,0.8062666666666667,0.400330169211721,1.42405104637146,0.43049091464981304,1.0,0.3527180783817952,0.43049091464981304,0.9317333333333333,1.4146649810366625,0.5063715173728245
